"","Date","Site.ID","Daily.Max.8.hour.Ozone.Concentration","Daily.Mean.PM2.5.Concentration","STATE_CODE","COUNTY_CODE","SITE_LATITUDE","SITE_LONGITUDE","Ozone_AQI","PM2.5_AQI"
"72",2020-03-14,420010001,0.043,NA,42,1,39.92002011,-77.30968017,40,NA
"73",2020-03-15,420010001,0.04,NA,42,1,39.92002011,-77.30968017,37,NA
"74",2020-03-16,420010001,0.043,NA,42,1,39.92002011,-77.30968017,40,NA
"75",2020-03-17,420010001,0.033,NA,42,1,39.92002011,-77.30968017,31,NA
"76",2020-03-18,420010001,0.038,NA,42,1,39.92002011,-77.30968017,35,NA
"77",2020-03-19,420010001,0.031,NA,42,1,39.92002011,-77.30968017,29,NA
"78",2020-03-20,420010001,0.043,NA,42,1,39.92002011,-77.30968017,40,NA
"79",2020-03-21,420010001,0.039,NA,42,1,39.92002011,-77.30968017,36,NA
"80",2020-03-22,420010001,0.043,NA,42,1,39.92002011,-77.30968017,40,NA
"81",2020-03-23,420010001,0.034,NA,42,1,39.92002011,-77.30968017,31,NA
"82",2020-03-24,420010001,0.041,NA,42,1,39.92002011,-77.30968017,38,NA
"83",2020-03-25,420010001,0.031,NA,42,1,39.92002011,-77.30968017,29,NA
"84",2020-03-26,420010001,0.041,NA,42,1,39.92002011,-77.30968017,38,NA
"85",2020-03-27,420010001,0.046,NA,42,1,39.92002011,-77.30968017,43,NA
"86",2020-03-28,420010001,0.037,NA,42,1,39.92002011,-77.30968017,34,NA
"87",2020-03-29,420010001,0.029,NA,42,1,39.92002011,-77.30968017,27,NA
"88",2020-03-30,420010001,0.046,NA,42,1,39.92002011,-77.30968017,43,NA
"89",2020-03-31,420010001,0.032,NA,42,1,39.92002011,-77.30968017,30,NA
"90",2020-04-01,420010001,0.045,NA,42,1,39.92002011,-77.30968017,42,NA
"91",2020-04-02,420010001,0.048,NA,42,1,39.92002011,-77.30968017,44,NA
"92",2020-04-03,420010001,0.044,NA,42,1,39.92002011,-77.30968017,41,NA
"93",2020-04-04,420010001,0.036,NA,42,1,39.92002011,-77.30968017,33,NA
"94",2020-04-05,420010001,0.046,NA,42,1,39.92002011,-77.30968017,43,NA
"95",2020-04-06,420010001,0.049,NA,42,1,39.92002011,-77.30968017,45,NA
"96",2020-04-07,420010001,0.044,NA,42,1,39.92002011,-77.30968017,41,NA
"97",2020-04-08,420010001,0.049,NA,42,1,39.92002011,-77.30968017,45,NA
"98",2020-04-09,420010001,0.048,NA,42,1,39.92002011,-77.30968017,44,NA
"99",2020-04-10,420010001,0.044,NA,42,1,39.92002011,-77.30968017,41,NA
"100",2020-04-11,420010001,0.05,NA,42,1,39.92002011,-77.30968017,46,NA
"101",2020-04-12,420010001,0.044,NA,42,1,39.92002011,-77.30968017,41,NA
"102",2020-04-13,420010001,0.045,NA,42,1,39.92002011,-77.30968017,42,NA
"103",2020-04-14,420010001,0.043,NA,42,1,39.92002011,-77.30968017,40,NA
"104",2020-04-15,420010001,0.049,NA,42,1,39.92002011,-77.30968017,45,NA
"105",2020-04-16,420010001,0.046,NA,42,1,39.92002011,-77.30968017,43,NA
"106",2020-01-01,420019991,0.036,NA,42,1,39.9231,-77.3078,33,NA
"107",2020-01-02,420019991,0.033,NA,42,1,39.9231,-77.3078,31,NA
"108",2020-01-03,420019991,0.02,NA,42,1,39.9231,-77.3078,19,NA
"109",2020-01-04,420019991,0.031,NA,42,1,39.9231,-77.3078,29,NA
"110",2020-01-05,420019991,0.034,NA,42,1,39.9231,-77.3078,31,NA
"111",2020-01-06,420019991,0.037,NA,42,1,39.9231,-77.3078,34,NA
"112",2020-01-07,420019991,0.032,NA,42,1,39.9231,-77.3078,30,NA
"113",2020-01-08,420019991,0.034,NA,42,1,39.9231,-77.3078,31,NA
"114",2020-01-09,420019991,0.03,NA,42,1,39.9231,-77.3078,28,NA
"115",2020-01-10,420019991,0.03,NA,42,1,39.9231,-77.3078,28,NA
"116",2020-01-11,420019991,0.033,NA,42,1,39.9231,-77.3078,31,NA
"117",2020-01-12,420019991,0.036,NA,42,1,39.9231,-77.3078,33,NA
"118",2020-01-13,420019991,0.023,NA,42,1,39.9231,-77.3078,21,NA
"119",2020-01-14,420019991,0.016,NA,42,1,39.9231,-77.3078,15,NA
"120",2020-01-15,420019991,0.034,NA,42,1,39.9231,-77.3078,31,NA
"121",2020-01-16,420019991,0.033,NA,42,1,39.9231,-77.3078,31,NA
"122",2020-01-17,420019991,0.036,NA,42,1,39.9231,-77.3078,33,NA
"123",2020-01-18,420019991,0.028,NA,42,1,39.9231,-77.3078,26,NA
"124",2020-01-19,420019991,0.03,NA,42,1,39.9231,-77.3078,28,NA
"125",2020-01-20,420019991,0.043,NA,42,1,39.9231,-77.3078,40,NA
"126",2020-01-21,420019991,0.041,NA,42,1,39.9231,-77.3078,38,NA
"127",2020-01-22,420019991,0.037,NA,42,1,39.9231,-77.3078,34,NA
"128",2020-01-23,420019991,0.029,NA,42,1,39.9231,-77.3078,27,NA
"129",2020-01-24,420019991,0.037,NA,42,1,39.9231,-77.3078,34,NA
"130",2020-01-25,420019991,0.033,NA,42,1,39.9231,-77.3078,31,NA
"131",2020-01-26,420019991,0.032,NA,42,1,39.9231,-77.3078,30,NA
