"","COUNTY_CODE","Avg.Max.Ozone","Avg.Ozone.AQI","Avg.Mean.PM25","Avg.PM25.AQI","SITE_LATITUDE","SITE_LONGITUDE","FIPS","STATE","COUNTY","STNAME","CTYNAME","POPESTIMATE2019","Confirmed","Deaths","case_rate","death_rate_conf","death_rate_pop","Mines"
"25",75,0.0234285714285714,21.8571428571429,9.4875,37.375,40.337328,-76.383447,"42075","42","075","Pennsylvania","Lebanon County",141793,458,4,323.006072232057,0.00873362445414847,2.82101373128434,0
"26",77,0.0331826923076923,30.75,8.16857142857143,32.847619047619,40.611944,-75.4325,"42077","42","077","Pennsylvania","Lehigh County",369318,2141,29,579.717208476164,0.0135450723960766,7.85231155806107,0
"27",79,0.0321818181818182,29.7575757575758,NA,NA,41.265556,-75.846389,"42079","42","079","Pennsylvania","Luzerne County",317417,1712,32,539.35359479801,0.0186915887850467,10.0813756037011,7
"28",81,0.0338785046728972,31.3551401869159,4.71333333333333,19.7333333333333,41.2527011885246,-76.9615937295082,"42081","42","081","Pennsylvania","Lycoming County",113299,36,0,31.7743316357602,0,0,1
"29",85,0.0361516587677725,33.4644549763033,7.63333333333333,31.3428571428571,41.2868276195253,-80.3697609057278,"42085","42","085","Pennsylvania","Mercer County",109424,57,1,52.0909489691475,0.0175438596491228,0.913876297704343,1
"30",89,0.03597,33.28,NA,NA,41.08306,-75.32328,"42089","42","089","Pennsylvania","Monroe County",170271,943,34,553.823023298154,0.0360551431601273,19.9681683903894,0
"31",91,0.0355377358490566,32.9056603773585,5.86952380952381,24.3619047619048,40.112222,-75.309167,"42091","42","091","Pennsylvania","Montgomery County",830915,2781,106,334.691274077373,0.0381157856886012,12.757020874578,0
"32",95,0.0341188118811881,31.5643564356436,7.24081632653061,29.265306122449,40.628056,-75.341111,"42095","42","095","Pennsylvania","Northampton County",305285,1396,29,457.277625825049,0.0207736389684814,9.49932030725388,0
"33",101,0.0324608150470219,30.0658307210031,7.23898678414097,29.5991189427313,40.000492003881,-75.0985733673997,"42101","42","101","Pennsylvania","Philadelphia County",1584064,9014,342,569.042664942831,0.037940980696694,21.5900367661913,0
"34",111,0.0374018691588785,34.607476635514,NA,NA,39.9878,-79.2515,"42111","42","111","Pennsylvania","Somerset County",73447,17,0,23.1459419717619,0,0,19
"35",115,NA,NA,5.80560747663551,24.0934579439252,41.86733106,-75.68621892,"42115","42","115","Pennsylvania","Susquehanna County",40328,59,1,146.300337234676,0.0169491525423729,2.47966673279111,0
"36",117,0.0383018867924528,35.4905660377358,5.74761904761905,23.6190476190476,41.644722,-76.939167,"42117","42","117","Pennsylvania","Tioga County",40591,14,1,34.4904042768101,0.0714285714285714,2.46360030548644,0
"37",125,0.0323135313531353,29.8811881188119,7.46091205211726,30.6254071661238,40.2898769721311,-80.1942078868852,"42125","42","125","Pennsylvania","Washington County",206865,79,2,38.1891571798033,0.0253164556962025,0.966814105817804,1
"38",129,0.0334752475247525,30.980198019802,5.34901960784314,22.3137254901961,40.304694,-79.505667,"42129","42","129","Pennsylvania","Westmoreland County",348899,280,13,80.2524512824628,0.0464285714285714,3.72600666668577,3
"39",131,NA,NA,4.84666666666667,20.2,41.605244,-75.95774,"42131","42","131","Pennsylvania","Wyoming County",26794,16,1,59.7148615361648,0.0625,3.7321788460103,0
"40",133,0.0313636363636364,29.0430622009569,9.78224299065421,38.7383177570093,39.9306186962025,-76.6205647436709,"42133","42","133","Pennsylvania","York County",449058,463,4,103.104721439101,0.00863930885529158,0.8907535329512,0
