Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/23/2020,AirNow,420010001,7,19.9,ug/m3 LC,67,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/24/2020,AirNow,420010001,7,22.8,ug/m3 LC,74,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/25/2020,AirNow,420010001,7,3.4,ug/m3 LC,14,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/26/2020,AirNow,420010001,7,3.8,ug/m3 LC,16,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/27/2020,AirNow,420010001,7,4.9,ug/m3 LC,20,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/28/2020,AirNow,420010001,7,5.5,ug/m3 LC,23,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/29/2020,AirNow,420010001,7,4.9,ug/m3 LC,20,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/30/2020,AirNow,420010001,7,9.2,ug/m3 LC,38,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/31/2020,AirNow,420010001,7,17.1,ug/m3 LC,62,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/1/2020,AirNow,420010001,7,24.9,ug/m3 LC,78,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/2/2020,AirNow,420010001,7,7.4,ug/m3 LC,31,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/3/2020,AirNow,420010001,7,9.6,ug/m3 LC,40,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/4/2020,AirNow,420010001,7,5.9,ug/m3 LC,25,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/5/2020,AirNow,420010001,7,6.4,ug/m3 LC,27,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/6/2020,AirNow,420010001,7,10,ug/m3 LC,42,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/7/2020,AirNow,420010001,7,2.8,ug/m3 LC,12,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/8/2020,AirNow,420010001,7,6.4,ug/m3 LC,27,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/9/2020,AirNow,420010001,7,8.7,ug/m3 LC,36,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/10/2020,AirNow,420010001,7,9.9,ug/m3 LC,41,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/11/2020,AirNow,420010001,7,9.3,ug/m3 LC,39,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/12/2020,AirNow,420010001,7,14.1,ug/m3 LC,55,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/13/2020,AirNow,420010001,7,9.8,ug/m3 LC,41,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/14/2020,AirNow,420010001,7,4.6,ug/m3 LC,19,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/15/2020,AirNow,420010001,7,8,ug/m3 LC,33,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/16/2020,AirNow,420010001,7,14.5,ug/m3 LC,56,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/17/2020,AirNow,420010001,7,13.5,ug/m3 LC,54,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/18/2020,AirNow,420010001,7,16.5,ug/m3 LC,60,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/19/2020,AirNow,420010001,7,6.8,ug/m3 LC,28,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/20/2020,AirNow,420010001,7,6.2,ug/m3 LC,26,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/21/2020,AirNow,420010001,7,5.9,ug/m3 LC,25,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/22/2020,AirNow,420010001,7,5.7,ug/m3 LC,24,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/23/2020,AirNow,420010001,7,5.7,ug/m3 LC,24,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/24/2020,AirNow,420010001,7,8,ug/m3 LC,33,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/25/2020,AirNow,420010001,7,15.1,ug/m3 LC,57,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/26/2020,AirNow,420010001,7,13.2,ug/m3 LC,53,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/27/2020,AirNow,420010001,7,3.7,ug/m3 LC,15,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/28/2020,AirNow,420010001,7,8.1,ug/m3 LC,34,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2/29/2020,AirNow,420010001,7,7,ug/m3 LC,29,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/1/2020,AirNow,420010001,7,6.8,ug/m3 LC,28,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/2/2020,AirNow,420010001,7,10.6,ug/m3 LC,44,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
